district,province,year,flooded,risk_score
Islamabad,ICT,2011,0,0.0009644483
Lahore,Punjab,2012,0,0.056048635
Multan,Punjab,2012,0,0.3318899
Faisalabad,Punjab,2012,0,0.0012989728
Rawalpindi,Punjab,2012,0,0.001222447
Gujranwala,Punjab,2012,0,0.17802028
Sialkot,Punjab,2012,0,0.030570159
Bahawalpur,Punjab,2012,1,0.79840195
Rahim Yar Khan,Punjab,2012,1,0.9011317
DG Khan,Punjab,2012,1,0.868748
Muzaffargarh,Punjab,2012,1,0.8933808
Gujrat,Punjab,2012,0,0.030546648
Sheikhupura,Punjab,2012,0,0.068712965
Sargodha,Punjab,2012,0,0.0030343696
Jhang,Punjab,2012,0,0.054748923
Kasur,Punjab,2012,0,0.0055644657
Okara,Punjab,2012,0,0.0014592689
Sahiwal,Punjab,2012,0,0.0010676475
Pakpattan,Punjab,2012,0,0.0028684593
Bahawalnagar,Punjab,2012,0,0.013627969
Vehari,Punjab,2012,0,0.08187284
Lodhran,Punjab,2012,0,0.7942374
Khanewal,Punjab,2012,0,0.061093617
Chiniot,Punjab,2012,0,0.0018620613
Hafizabad,Punjab,2012,0,0.02596649
Narowal,Punjab,2012,0,0.03186068
Nankana Sahib,Punjab,2012,0,0.0028033827
Mandi Bahauddin,Punjab,2012,0,0.0027644036
Attock,Punjab,2012,0,0.0032992032
Chakwal,Punjab,2012,0,0.0005601168
Jhelum,Punjab,2012,0,0.0034749282
Khushab,Punjab,2012,0,0.002447401
Bhakkar,Punjab,2012,0,0.09463477
Layyah,Punjab,2012,0,0.20634018
Toba Tek Singh,Punjab,2012,0,0.0010596577
Dera Ghazi Khan,Punjab,2012,1,0.868748
Karachi Central,Sindh,2012,0,0.03149181
Karachi East,Sindh,2012,0,0.010559353
Karachi West,Sindh,2012,0,0.03149181
Karachi South,Sindh,2012,0,0.011606411
Malir,Sindh,2012,0,0.05097925
Hyderabad,Sindh,2012,0,0.082412064
Sukkur,Sindh,2012,1,0.9578181
Larkana,Sindh,2012,1,0.9092447
Thatta,Sindh,2012,0,0.098552
Dadu,Sindh,2012,1,0.7984366
Jacobabad,Sindh,2012,0,0.69667685
Kashmore,Sindh,2012,1,0.94495493
Kamber,Sindh,2012,1,0.7013392
Shikarpur,Sindh,2012,0,0.15655103
Mirpur Khas,Sindh,2012,0,0.09471251
Sanghar,Sindh,2012,1,0.7216868
Nawabshah,Sindh,2012,1,0.8504973
Naushahro Feroze,Sindh,2012,0,0.07207683
Khairpur,Sindh,2012,1,0.95314455
Ghotki,Sindh,2012,0,0.6194699
Badin,Sindh,2012,0,0.067762166
Tharparkar,Sindh,2012,0,0.013966022
Umerkot,Sindh,2012,0,0.015816461
Matiari,Sindh,2012,0,0.110617325
Jamshoro,Sindh,2012,0,0.073730476
Sujawal,Sindh,2012,0,0.061927967
Tando Allahyar,Sindh,2012,0,0.04339253
Tando Muhammad Khan,Sindh,2012,0,0.022206012
Qambar Shahdadkot,Sindh,2012,0,0.42807388
Peshawar,KPK,2012,0,0.042896077
Swat,KPK,2012,0,0.21384478
Nowshera,KPK,2012,0,0.21438073
Charsadda,KPK,2012,0,0.16679795
Dir Upper,KPK,2012,0,0.26889467
Dir Lower,KPK,2012,0,0.109818235
Chitral,KPK,2012,0,0.262486
Kohistan,KPK,2012,0,0.19293778
Tank,KPK,2012,0,0.20483404
Dera Ismail Khan,KPK,2012,0,0.19182208
Mardan,KPK,2012,0,0.07978149
Abbottabad,KPK,2012,0,0.0010481697
Haripur,KPK,2012,0,0.003406879
Mansehra,KPK,2012,0,0.1319443
Battagram,KPK,2012,0,0.19874701
Shangla,KPK,2012,0,0.114301026
Buner,KPK,2012,0,0.017198432
Malakand,KPK,2012,0,0.066416666
Hangu,KPK,2012,0,0.0023095796
Karak,KPK,2012,0,0.0011255409
Kohat,KPK,2012,0,0.003947868
Lakki Marwat,KPK,2012,0,0.08073444
Bannu,KPK,2012,0,0.011665632
Kurram,KPK,2012,0,0.0019858351
Orakzai,KPK,2012,0,0.000614178
Khyber,KPK,2012,0,0.0020908266
Mohmand,KPK,2012,0,0.0061924704
Bajaur,KPK,2012,0,0.00604596
South Waziristan,KPK,2012,0,0.0022520786
North Waziristan,KPK,2012,0,0.0012948008
Torghar,KPK,2012,0,0.12135225
Kolai Pallas,KPK,2012,0,0.10030477
Swabi,KPK,2012,0,0.10655762
Tor Ghar,KPK,2012,0,0.002859007
Khyber Tribal,KPK,2012,0,0.0021111036
Quetta,Balochistan,2012,0,0.0044526136
Naseerabad,Balochistan,2012,1,0.972681
Jaffarabad,Balochistan,2012,1,0.9539154
Lasbela,Balochistan,2012,0,0.13703741
Kalat,Balochistan,2012,0,0.02516821
Khuzdar,Balochistan,2012,0,0.030224439
Turbat,Balochistan,2012,0,0.012036359
Gwadar,Balochistan,2012,0,0.018099213
Panjgur,Balochistan,2012,0,0.019726323
Chagai,Balochistan,2012,0,0.0062379683
Nushki,Balochistan,2012,0,0.0012521811
Kharan,Balochistan,2012,0,0.0010850246
Washuk,Balochistan,2012,0,0.00194861
Awaran,Balochistan,2012,0,0.03077533
Kech,Balochistan,2012,0,0.011617593
Dera Bugti,Balochistan,2012,0,0.58809644
Kohlu,Balochistan,2012,0,0.0019404487
Sibi,Balochistan,2012,0,0.09793628
Ziarat,Balochistan,2012,0,0.0013557503
Pishin,Balochistan,2012,0,0.00346614
Qilla Abdullah,Balochistan,2012,0,0.0006567558
Qilla Saifullah,Balochistan,2012,0,0.0015311044
Loralai,Balochistan,2012,0,0.0062605925
Musakhel,Balochistan,2012,0,0.014504773
Barkhan,Balochistan,2012,0,0.0124307955
Harnai,Balochistan,2012,0,0.01891916
Sherani,Balochistan,2012,0,0.001668231
Zhob,Balochistan,2012,0,0.0017446198
Jhal Magsi,Balochistan,2012,1,0.9671185
Khairpur Tamewali,Balochistan,2012,0,0.0030314026
Mastung,Balochistan,2012,0,0.0050685657
Surab,Balochistan,2012,0,0.0011004542
Lehri,Balochistan,2012,0,0.16923325
Gilgit,GB,2012,0,0.1294755
Skardu,GB,2012,0,0.007769331
Hunza,GB,2012,0,0.24645348
Nagar,GB,2012,0,0.010373819
Ghanche,GB,2012,0,0.051678043
Shigar,GB,2012,0,0.0010747587
Kharmang,GB,2012,0,0.0013085615
Roundu,GB,2012,0,0.037316293
Tangir,GB,2012,0,0.020408787
Darel,GB,2012,0,0.025195876
Diamer,GB,2012,0,0.15076488
Astore,GB,2012,0,0.082394145
Ghizer,GB,2012,0,0.050184067
Gupis Yasin,GB,2012,0,0.059439432
Muzaffarabad,AJK,2012,0,0.1730476
Mirpur,AJK,2012,0,0.022947019
Bagh,AJK,2012,0,0.08187104
Rawalakot,AJK,2012,0,0.002158041
Kotli,AJK,2012,0,0.019725056
Neelum,AJK,2012,0,0.11736239
Haveli,AJK,2012,0,0.0019942191
Sudhnoti,AJK,2012,0,0.0008451025
Hattian Bala,AJK,2012,0,0.057921354
Jhelum Valley,AJK,2012,0,0.03823478
Islamabad,ICT,2012,0,0.001222447
Lahore,Punjab,2013,0,0.06436973
Multan,Punjab,2013,0,0.09309536
Faisalabad,Punjab,2013,0,0.0033204248
Rawalpindi,Punjab,2013,0,0.002341197
Gujranwala,Punjab,2013,0,0.041091867
Sialkot,Punjab,2013,0,0.016374063
Bahawalpur,Punjab,2013,0,0.22693905
Rahim Yar Khan,Punjab,2013,0,0.38365644
DG Khan,Punjab,2013,0,0.33895713
Muzaffargarh,Punjab,2013,0,0.35298148
Gujrat,Punjab,2013,0,0.01616203
Sheikhupura,Punjab,2013,0,0.103850335
Sargodha,Punjab,2013,0,0.0067721494
Jhang,Punjab,2013,0,0.12790224
Kasur,Punjab,2013,0,0.004054644
Okara,Punjab,2013,0,0.0027197772
Sahiwal,Punjab,2013,0,0.0010311808
Pakpattan,Punjab,2013,0,0.0020631861
Bahawalnagar,Punjab,2013,0,0.01146717
Vehari,Punjab,2013,0,0.13234662
Lodhran,Punjab,2013,0,0.22268859
Khanewal,Punjab,2013,0,0.07670613
Chiniot,Punjab,2013,0,0.0042932867
Hafizabad,Punjab,2013,0,0.053247817
Narowal,Punjab,2013,0,0.030403102
Nankana Sahib,Punjab,2013,0,0.0037488097
Mandi Bahauddin,Punjab,2013,0,0.004404922
Attock,Punjab,2013,0,0.0103380615
Chakwal,Punjab,2013,0,0.0018159178
Jhelum,Punjab,2013,0,0.0028090163
Khushab,Punjab,2013,0,0.009423288
Bhakkar,Punjab,2013,0,0.064187266
Layyah,Punjab,2013,0,0.18836416
Toba Tek Singh,Punjab,2013,0,0.0021475856
Dera Ghazi Khan,Punjab,2013,0,0.33895713
Karachi Central,Sindh,2013,0,0.016991068
Karachi East,Sindh,2013,0,0.006096109
Karachi West,Sindh,2013,0,0.016991068
Karachi South,Sindh,2013,0,0.0050555854
Malir,Sindh,2013,0,0.011811851
Hyderabad,Sindh,2013,0,0.064432584
Sukkur,Sindh,2013,0,0.18833025
Larkana,Sindh,2013,0,0.28760055
Thatta,Sindh,2013,0,0.02225758
Dadu,Sindh,2013,0,0.17579046
Jacobabad,Sindh,2013,0,0.06629877
Kashmore,Sindh,2013,0,0.2198056
Kamber,Sindh,2013,0,0.1577668
Shikarpur,Sindh,2013,0,0.029731303
Mirpur Khas,Sindh,2013,0,0.022078114
Sanghar,Sindh,2013,0,0.0821939
Nawabshah,Sindh,2013,0,0.2618613
Naushahro Feroze,Sindh,2013,0,0.051604632
Khairpur,Sindh,2013,0,0.1316167
Ghotki,Sindh,2013,0,0.16941719
Badin,Sindh,2013,0,0.011295058
Tharparkar,Sindh,2013,0,0.011321261
Umerkot,Sindh,2013,0,0.008656732
Matiari,Sindh,2013,0,0.024544222
Jamshoro,Sindh,2013,0,0.054058306
Sujawal,Sindh,2013,0,0.010656974
Tando Allahyar,Sindh,2013,0,0.01227944
Tando Muhammad Khan,Sindh,2013,0,0.012169024
Qambar Shahdadkot,Sindh,2013,0,0.08752658
Peshawar,KPK,2013,0,0.05814683
Swat,KPK,2013,1,0.9165756
Nowshera,KPK,2013,0,0.38006812
Charsadda,KPK,2013,0,0.283541
Dir Upper,KPK,2013,1,0.844832
Dir Lower,KPK,2013,1,0.82741714
Chitral,KPK,2013,1,0.87344646
Kohistan,KPK,2013,1,0.8517294
Tank,KPK,2013,0,0.035144117
Dera Ismail Khan,KPK,2013,0,0.035442047
Mardan,KPK,2013,0,0.14936493
Abbottabad,KPK,2013,0,0.0021489728
Haripur,KPK,2013,0,0.005661959
Mansehra,KPK,2013,0,0.74284405
Battagram,KPK,2013,1,0.8765431
Shangla,KPK,2013,1,0.87843823
Buner,KPK,2013,0,0.13703038
Malakand,KPK,2013,0,0.34661075
Hangu,KPK,2013,0,0.005524935
Karak,KPK,2013,0,0.003072053
Kohat,KPK,2013,0,0.0071691056
Lakki Marwat,KPK,2013,0,0.095492184
Bannu,KPK,2013,0,0.010969386
Kurram,KPK,2013,0,0.0020092584
