district,year,flooded,annual_total_mm,annual_max_daily,monsoon_total_mm,monsoon_avg_daily,monsoon_max_daily,monsoon_rainy_days,premonsoon_total_mm,province,lat,lon,elevation_m,terrain_type,river_proximity,flood_risk_geo,terrain_code,geo_risk_code,province_code,flood_intensity_score,flood_intensity_category,flood_intensity_code,risk_score
Kohat,2010,0,727.65,91.62,501.37,4.1096,91.62,20,54.21,KPK,33.5869,71.4414,518,hills,1,medium,3,2,3.0,90.2593,moderate,3,0.016996022
Lakki Marwat,2010,0,685.58,88.05,573.53,4.7011,88.05,24,24.16,KPK,32.6072,70.9125,218,plains,1,medium,1,2,3.0,150.3429,high,4,0.27734348
Bannu,2010,0,749.26,48.96,558.05,4.5742,48.96,26,52.66,KPK,32.9889,70.6006,370,plains,1,medium,1,2,3.0,97.9682,moderate,3,0.07309788
Kurram,2010,0,815.52,46.31,483.27,3.9612,46.31,27,105.88,KPK,33.8872,70.0989,1800,mountains,1,medium,4,2,3.0,39.8775,low,2,0.016702149
Orakzai,2010,0,788.47,56.48,524.16,4.2964,56.48,30,77.39,KPK,33.6583,70.9333,1400,mountains,0,low,4,1,3.0,12.6224,very_low,1,0.0052542714
Khyber,2010,0,767.61,100.48,503.23,4.1248,100.48,20,70.53,KPK,34.1,71.1,1070,mountains,0,low,4,1,3.0,16.2836,low,2,0.005606827
Mohmand,2010,0,835.31,112.0,517.76,4.2439,112.0,20,94.1,KPK,34.4,71.2,900,mountains,1,medium,4,2,3.0,75.2457,moderate,3,0.23427725
Bajaur,2010,0,835.31,112.0,517.76,4.2439,112.0,20,94.1,KPK,34.69,71.5,1100,mountains,1,medium,4,2,3.0,68.0691,moderate,3,0.22304755
South Waziristan,2010,0,642.62,57.33,516.02,4.2297,57.33,23,33.97,KPK,32.3,69.8,1800,mountains,1,medium,4,2,3.0,43.2414,low,2,0.011513559
North Waziristan,2010,0,775.4,49.92,560.7,4.5959,49.92,28,67.91,KPK,33.0,70.0,1400,mountains,1,medium,4,2,3.0,51.1099,moderate,3,0.013814756
Torghar,2010,1,920.71,77.71,547.13,4.4847,77.71,28,118.44,KPK,34.9,72.9,2200,mountains,1,medium,4,2,3.0,44.8215,low,2,0.9729224
Kolai Pallas,2010,1,920.71,77.71,547.13,4.4847,77.71,28,118.44,KPK,35.2,73.1,1800,mountains,1,medium,4,2,3.0,49.5495,low,2,0.95171916
Swabi,2010,0,823.35,98.76,548.43,4.4953,98.76,20,68.79,KPK,34.12,72.47,360,plains,1,medium,1,2,3.0,117.1743,high,4,0.34801534
Tor Ghar,2010,0,920.71,77.71,547.13,4.4847,77.71,28,118.44,KPK,34.85,72.85,2100,mountains,1,medium,4,2,3.0,45.8758,low,2,0.03263516
Khyber Tribal,2010,0,767.61,100.48,503.23,4.1248,100.48,20,70.53,KPK,34.2,71.0,950,mountains,0,low,4,1,3.0,17.2804,low,2,0.0054029217
Quetta,2010,0,126.54,25.21,33.91,0.278,11.84,1,12.36,Balochistan,30.1798,66.975,1680,mountains,0,low,4,1,4.0,1.7626,very_low,1,0.007871004
